time,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
113.634648,0.017658403,0.276236802,-0.059855092,2.002402544,-0.102887154,-13.31435585
113.646783,-0.127316654,0.485875487,-0.009626946,-1.917678356,0.020138722,-10.30132771
113.651643,-0.09888389,0.449256599,-0.021230275,-2.854832172,-0.148635313,-6.960155964
113.654694,-0.043986578,0.306129247,-0.019738497,-3.530930519,0.724339366,-9.18325901
113.65867,-0.061434224,0.081109725,-0.005474003,-2.862389088,1.070572138,-11.76166344
113.663204,-0.094750114,-0.104446694,-0.00164584,-1.119097352,0.818362355,-12.55980778
113.666849,-0.130180225,-0.103213988,-0.00740184,0.468183041,0.134238735,-10.21833801
113.684055,-0.148704886,0.152561814,-0.006650853,-0.736335099,0.037497409,-9.6235075
113.686789,-0.145513386,0.156925604,-0.008457961,-0.519274235,0.466504097,-9.721614838
113.6911,-0.141368315,0.120560661,-0.004734619,-0.404672265,1.096340299,-9.463413239
113.694683,-0.137747586,0.11178647,-0.002598638,-0.645581007,1.80749464,-9.304035187
113.706651,-0.119433597,0.158186719,-0.026548686,-0.620277584,0.868079603,-9.380067825
113.711158,-0.104540899,0.130320132,-0.023464099,-0.575825632,0.211334273,-9.411198616
113.711158,-0.104540899,0.130320132,-0.023464099,-0.575825632,0.211334273,-9.411198616
113.714794,-0.09879344,0.131061718,-0.026016215,-0.731483877,-0.43212685,-9.459533691
113.723568,-0.117309988,0.106791288,-0.038470499,-0.932205439,-0.887973964,-9.472139359
113.726958,-0.109223656,0.091369465,-0.040917348,-0.95772481,-0.583981335,-9.324442863
113.731893,-0.098154739,0.080512755,-0.040597972,-1.031457543,-0.083581969,-9.037694931
113.738936,-0.109549008,0.035581414,-0.046558537,-1.165979385,0.877795637,-8.839454651
113.743489,-0.120185554,-0.017499877,-0.049536064,-1.233383298,1.019735456,-8.685547829
113.747624,-0.122967646,-0.060804769,-0.050245248,-1.315342307,0.936051488,-8.492968559
113.75191,-0.124017023,-0.109251261,-0.052303262,-1.388174295,0.725214243,-8.617348671
113.975496,-0.064741895,-0.05794698,-0.161592945,-1.261913657,1.192231774,-9.817130089
114.083621,0.024020344,0.072323903,-0.134782404,-0.420816869,0.106946126,-10.15620041
114.08749,0.032632764,0.089653477,-0.138503939,-0.360547096,0.215878576,-10.30626297
114.092794,0.042537492,0.089126505,-0.138505936,-0.550596356,0.26194784,-10.45164585
114.095464,0.051792819,0.065827921,-0.135846034,-0.605639338,0.151237339,-10.19365788
114.100033,0.06669838,0.096389517,-0.137655988,-0.637134135,0.102274664,-10.09552479
114.113007,0.075000353,0.151609823,-0.140528113,-0.55674547,0.083714001,-10.3782053
114.12,0.077122897,0.161400288,-0.138399735,-0.573722124,0.127201676,-10.307971
114.12,0.077122897,0.161400288,-0.138399735,-0.573722124,0.127201676,-10.307971
114.123443,0.080742769,0.172362089,-0.135950521,-0.614171684,0.051395196,-10.29118061
114.127572,0.086056575,0.187456548,-0.135312334,-0.712289572,0.034171853,-10.33317947
114.140799,0.109688051,0.284220755,-0.136591345,-0.324447125,0.515258849,-11.1450243
114.143477,0.115551442,0.324790955,-0.135203511,-0.416582435,0.432797402,-11.5005455
114.147972,0.113939501,0.375106275,-0.127227128,0.25225383,0.48044771,-11.44568348
114.156028,0.114054814,0.486746997,-0.131163642,0.016424267,0.640246272,-11.34809017
114.159571,0.114796139,0.539086938,-0.131054997,-0.487094373,0.585244179,-11.08188534
114.164289,0.113304876,0.556646347,-0.12700966,-0.886606097,0.437366784,-10.30154705
114.167598,0.102130055,0.541002572,-0.123393714,-1.400907636,0.395260066,-9.567358017
114.171572,0.096170604,0.517164946,-0.122969657,-2.00427556,0.450957865,-9.131261826
114.176451,0.093295485,0.46268025,-0.121693306,-2.41738224,0.55640316,-8.920642853
114.180416,0.093683839,0.37269628,-0.120310806,-2.171647072,0.708103538,-8.668395042
114.192457,0.07988774,0.252388567,-0.109241195,-1.355876088,0.783656359,-9.728593826
114.19709,0.056148298,0.203420535,-0.101896152,-1.122630596,1.133707881,-9.411231995
114.200407,0.051367946,0.206092462,-0.100300618,-0.78428489,1.103338003,-9.046590805
114.204725,0.066797055,0.250037253,-0.100938179,-0.776964188,0.969774723,-9.031874657
114.204725,0.066797055,0.250037253,-0.100938179,-0.776964188,0.969774723,-9.031874657
114.208367,0.074885525,0.242811561,-0.099450536,-0.904723585,0.941703558,-9.39431572
